考号	题65（男1女2）	题66	题1	题2	题3	题4	题5	题6	题7	题8	题9	题10	题11	题12	题13	题14	题15	题16	题17	题18	题19	题20	题21	题22	题23	题24	题25	题26	题27	题28	题29	题30	题31	题32	题33	题34	题35	题36	题37	题38	题39	题40	题41	题42	题43	题44	题45	题46	题47	题48	题49	题50	题51	题52	题53	题54	题55	题56	题57	题58	题59	题60	题61	题62	题63
 180033 	2	4	1	2	3	2	4	4	5	2	3	2	3	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	3	4	3	4	4	3	5	3	1	4	3	6	3	4	4	5	3	3	3	4	4	4	4	3	3	4	4	4	4	4	4	3	3	4	4	4
 180034 	2	4	1	2	3	2	1	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	3	4	3	4	4	1	5	3	1	4	3	1	3	4	4	5	3	3	1	1	4	3	3	2	4	2	4	1	4	4	4	3	3	3	3	3
 180035 	2	4	1	2	3	2	1	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	3	4	3	4	4	1	1	1	1	4	3	1	1	4	4	5	3	3	3	2	4	4	3	3	1	3	4	1	5	4	4	3	3	1	4	4
 180036 	2	4	1	2	3	2	1	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	3	4	3	4	4	1	1	3	1	4	3	3	3	4	4	5	4	3	3	4	4	3	4	3	1	4	4	6	5	4	4	3	5	4	4	1
 180037 	1	4	1	2	3	2	1	4	5	6	3	2	0	4	1	3	4	3	5	1	1	3	2	6	3	4	1	5	1	3	4	3	4	4	1	1	3	3	4	3	1	3	0	4	0	3	2	0	1	1	4	3	2	2	1	4	4	6	4	4	3	2	5	4	4
 180038 	1	4	1	2	3	2	1	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	3	4	3	4	4	3	1	3	1	4	3	1	1	4	2	5	4	3	1	1	4	4	4	2	1	5	4	4	5	4	4	3	3	1	4	3
 180039 	1	4	1	2	3	2	1	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	3	4	3	4	4	3	1	3	1	4	3	1	0	4	2	5	4	3	1	1	4	4	4	2	1	5	4	4	5	4	4	3	3	1	4	3
 180040 	1	4	1	2	3	2	0	5	2	6	3	2	3	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	3	4	3	4	4	3	1	3	1	4	3	1	3	4	2	5	2	3	1	1	2	4	5	2	1	4	4	1	2	1	2	3	3	5	4	3
 180041 	1	3	1	2	3	2	1	4	5	6	3	2	3	4	5	3	4	3	5	1	1	3	2	6	4	1	4	5	1	3	4	3	4	4	1	1	3	1	4	3	1	3	4	4	5	3	3	1	1	4	3	2	2	1	4	4	6	3	4	4	3	3	5	4	4
 180042 	2	3	1	2	3	2	1	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	2	1	4	1	4	5	1	3	4	3	4	4	1	1	3	1	4	3	1	3	4	4	3	4	3	3	1	4	3	4	2	2	4	4	6	4	4	3	3	3	1	4	4
 180043 	2	4	1	2	3	2	1	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	5	6	3	1	5	5	1	4	3	3	4	4	3	1	3	5	1	3	1	3	6	4	5	3	3	3	2	4	4	4	3	2	6	4	6	4	5	5	3	3	1	4	3
 180044 	4	0	1	2	3	2	1	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	3	4	3	4	4	5	1	3	1	4	3	1	0	4	2	5	6	3	1	1	2	3	3	2	1	5	4	4	5	4	6	3	3	4	4	3
 180045 	1	4	1	2	3	2	1	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	4	4	3	4	4	6	1	3	1	4	3	1	3	4	4	5	3	3	0	1	4	3	4	2	1	4	4	6	5	4	4	3	3	4	4	5
 180046 	1	4	1	2	3	2	1	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	3	4	3	4	4	1	1	3	1	4	3	1	1	4	0	2	5	2	1	1	2	3	3	2	1	4	4	6	3	4	6	3	3	6	5	5
 180047 	1	1	12	2	3	2	1	4	0	6	3	2	3	3	5	3	3	3	4	1	1	3	2	6	4	1	4	5	1	3	4	3	4	4	1	1	3	1	4	3	1	0	4	4	0	4	2	6	4	4	3	2	2	2	4	4	6	4	4	4	3	3	5	4	4
 180048 	1	4	1	2	3	2	1	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	3	4	3	4	4	3	1	3	1	4	3	1	1	2	2	5	5	2	1	1	2	4	4	2	1	5	4	6	4	4	4	3	3	1	4	4
 180049 	1	4	1	2	3	2	1	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	3	4	3	4	4	3	1	3	1	4	3	1	1	2	2	5	5	2	1	1	2	4	4	2	1	5	4	5	4	4	4	3	3	1	4	4
 180050 	1	4	1	2	3	2	1	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	3	4	3	4	4	3	1	3	1	4	3	1	0	2	2	5	0	0	1	1	2	4	4	2	1	5	4	6	4	4	4	3	3	1	4	4
 180051 	1	3	1	2	3	2	4	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	5	1	4	1	4	5	1	3	4	3	4	4	1	5	3	1	4	3	1	1	4	2	5	4	3	0	1	4	3	3	3	1	2	4	4	5	3	2	5	3	1	4	4
 180052 	2	4	1	2	3	2	0	4	0	6	0	2	0	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	3	4	3	4	4	3	1	3	1	4	3	1	1	4	2	0	5	0	1	1	2	4	4	2	1	5	4	4	4	4	4	3	3	1	4	4
 180053 	4	0	1	2	3	2	1	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	3	4	3	4	4	2	1	3	1	4	3	1	0	4	2	0	0	3	1	1	2	3	3	2	1	4	4	6	4	4	6	3	3	6	4	4
 180054 	1	4	1	2	3	2	1	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	1	2	3	4	4	1	1	3	1	4	3	1	1	4	2	2	5	3	3	1	2	4	4	1	1	2	4	1	1	1	4	5	3	4	4	1
 180055 	1	4	1	2	3	2	1	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	1	2	3	4	4	1	1	3	1	4	3	1	1	4	2	2	5	3	3	1	2	4	4	1	1	2	4	3	1	1	4	5	3	4	4	1
 180056 	1	3	1	2	3	2	2	4	5	6	3	2	3	4	1	3	4	3	3	1	1	3	2	6	4	1	4	5	1	3	4	3	4	1	4	1	3	1	4	4	1	3	4	1	2	4	2	3	1	2	4	3	3	1	5	4	6	4	3	4	3	3	4	6	4
 180057 	2	3	1	2	3	2	1	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	3	4	3	4	4	1	1	3	1	4	3	1	1	4	4	5	3	3	3	2	4	4	3	3	1	4	4	6	5	4	4	3	3	1	4	4
 180058 	2	4	1	2	3	2	1	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	2	6	4	5	4	5	1	3	4	3	4	4	1	1	5	1	4	4	1	3	4	4	5	3	3	1	1	4	3	4	3	2	1	4	6	4	4	4	5	3	4	4	3
 180059 	1	3	1	2	3	2	1	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	4	4	3	4	4	6	1	3	1	4	3	1	3	4	4	5	3	3	3	1	4	3	4	2	1	4	4	6	5	4	4	3	3	4	4	5
 180060 	2	3	1	2	3	2	1	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	3	4	3	4	4	5	5	3	5	4	1	1	6	3	4	5	3	3	5	4	3	4	3	2	1	0	3	3	3	5	3	6	4	5	5	5
